measure_number	beat	offset	duration	notes
1	1.0	0.0	1/3	('C#2', 'C#3', 'G#3')
1	4/3	1/3	1/3	('C#2', 'C#3', 'C#4')
1	5/3	2/3	1/3	('C#2', 'C#3', 'E4')
1	2.0	1.0	1/3	('C#2', 'C#3', 'G#3')
1	7/3	4/3	1/3	('C#2', 'C#3', 'C#4')
1	8/3	5/3	1/3	('C#2', 'C#3', 'E4')
1	3.0	2.0	1/3	('C#2', 'C#3', 'G#3')
1	10/3	7/3	1/3	('C#2', 'C#3', 'C#4')
1	11/3	8/3	1/3	('C#2', 'C#3', 'E4')
1	4.0	3.0	1/3	('C#2', 'C#3', 'G#3')
1	13/3	10/3	1/3	('C#2', 'C#3', 'C#4')
1	14/3	11/3	1/3	('C#2', 'C#3', 'E4')
2	1.0	4.0	1/3	('B1', 'B2', 'G#3')
2	4/3	13/3	1/3	('B1', 'B2', 'C#4')
2	5/3	14/3	1/3	('B1', 'B2', 'E4')
2	2.0	5.0	1/3	('B1', 'B2', 'G#3')
2	7/3	16/3	1/3	('B1', 'B2', 'C#4')
2	8/3	17/3	1/3	('B1', 'B2', 'E4')
2	3.0	6.0	1/3	('B1', 'B2', 'G#3')
2	10/3	19/3	1/3	('B1', 'B2', 'C#4')
2	11/3	20/3	1/3	('B1', 'B2', 'E4')
2	4.0	7.0	1/3	('B1', 'B2', 'G#3')
2	13/3	22/3	1/3	('B1', 'B2', 'C#4')
2	14/3	23/3	1/3	('B1', 'B2', 'E4')
3	1.0	8.0	1/3	('A1', 'A2', 'A3')
3	4/3	25/3	1/3	('A1', 'A2', 'C#4')
3	5/3	26/3	1/3	('A1', 'A2', 'E4')
3	2.0	9.0	1/3	('A1', 'A2', 'A3')
3	7/3	28/3	1/3	('A1', 'A2', 'C#4')
3	8/3	29/3	1/3	('A1', 'A2', 'E4')
3	3.0	10.0	1/3	('F#1', 'F#2', 'A3')
3	10/3	31/3	1/3	('F#1', 'F#2', 'D4')
3	11/3	32/3	1/3	('F#1', 'F#2', 'F#4')
3	4.0	11.0	1/3	('F#1', 'F#2', 'A3')
3	13/3	34/3	1/3	('F#1', 'F#2', 'D4')
3	14/3	35/3	1/3	('F#1', 'F#2', 'F#4')
4	1.0	12.0	1/3	('G#1', 'G#2', 'G#3')
4	4/3	37/3	1/3	('G#1', 'G#2', 'B#3')
4	5/3	38/3	1/3	('G#1', 'G#2', 'F#4')
4	2.0	13.0	1/3	('G#1', 'G#2', 'G#3')
4	7/3	40/3	1/3	('G#1', 'G#2', 'C#4')
4	8/3	41/3	1/3	('G#1', 'G#2', 'E4')
