measure_number	beat	offset	duration	notes
1	1.0	0.0	0.75	('A-2', 'E-3', 'F3', 'A-3', 'C4', 'E-4', 'C5')
1	1.75	0.75	0.25	('A-2', 'E-3', 'F3', 'A-3', 'C4', 'E-4', 'F4')
1	2.0	1.0	1.0	('A-2', 'E-3', 'F3', 'A-3', 'C4', 'E-4', 'F4')
2	1.0	3.0	0.75	('A-2', 'E-3', 'F3', 'A-3', 'C4', 'E-4', 'C5')
2	1.75	3.75	0.25	('A-2', 'E-3', 'F3', 'A-3', 'C4', 'E-4', 'F4')
2	2.0	4.0	1.0	('A-2', 'E-3', 'F3', 'A-3', 'C4', 'E-4', 'F4')
3	1.0	6.0	1.0	('A-1', 'E-2', 'C4', 'E-4', 'F4')
3	2.0	7.0	1.0	('A-1', 'E-2', 'C4', 'E-4', 'F4')
3	3.0	8.0	1.0	('A-1', 'E-2', 'C4', 'E-4', 'F4')
4	1.0	9.0	3.0	('A1', 'E-2', 'C4', 'E-4', 'G-4')
5	1.0	12.0	1.0	('A2', 'E-3', 'G-3', 'C4', 'E-4', 'G-4')
5	2.0	13.0	1.0	('A2', 'E-3', 'G-3', 'C4', 'E-4', 'G-4')
5	3.0	14.0	1.0	('A2', 'E-3', 'G-3', 'C4', 'E-4', 'G-4')
6	1.0	15.0	3.0	('B-2', 'E-3', 'G3', 'B-3', 'E-4', 'G4')
7	1.0	18.0	0.5	('B-1', 'B-2', 'A-3', 'D4', 'G4')
7	1.5	18.5	0.5	('B-1', 'B-2', 'A-3', 'D4', 'F4')
7	2.0	19.0	0.25	('B-1', 'B-2', 'A-3', 'D4', 'F4')
7	2.25	19.25	0.25	('B-1', 'B-2', 'A-3', 'D4', 'G4')
7	2.5	19.5	0.25	('B-1', 'B-2', 'A-3', 'D4', 'F4')
7	2.75	19.75	0.25	('B-1', 'B-2', 'A-3', 'D4', 'E4')
7	3.0	20.0	0.5	('B-1', 'B-2', 'A-3', 'D4', 'F4')
7	3.5	20.5	0.5	('B-1', 'B-2', 'A-3', 'D4', 'G4')
8	1.0	21.0	0.25	('E-2', 'E-3', 'G3', 'E-4')
8	1.25	21.25	0.25	('E-2', 'E-3', 'F4')
8	1.5	21.5	0.25	('E-2', 'E-3', 'E-4')
8	1.75	21.75	0.25	('E-2', 'E-3', 'D4')
8	2.0	22.0	1/3	('E-4',)
8	7/3	67/3	1/3	('F4',)
8	8/3	68/3	1/3	('G4',)
8	3.0	23.0	1/3	('A-4',)
8	10/3	70/3	1/3	('B-4',)
8	11/3	71/3	1/3	('C5',)
9	1.0	24.0	1/3	('D5',)
9	4/3	73/3	1/3	('E-5',)
9	5/3	74/3	1/3	('F5',)
9	2.0	25.0	1/3	('F#5',)
9	7/3	76/3	1/3	('G5',)
9	8/3	77/3	1/3	('A-5',)
9	3.0	26.0	1/3	('A5',)
9	10/3	79/3	1/3	('B-5',)
9	11/3	80/3	1/3	('B5',)
10	1.0	27.0	0.75	('A-4', 'C5', 'E-5', 'C6')
10	1.75	27.75	0.25	('A-4', 'C5', 'E-5', 'F5')
10	2.0	28.0	1.0	('A-4', 'C5', 'E-5', 'F5')
11	1.0	30.0	0.75	('A-3', 'C4', 'E-4', 'B4', 'C5')
11	1.75	30.75	0.25	('A-3', 'C4', 'E-4', 'F4')
11	2.0	31.0	1.0	('A-3', 'C4', 'E-4', 'F4')
12	1.0	33.0	1.0	('A-1', 'A-2', 'C3', 'E-3', 'F3')
12	2.0	34.0	1.0	('A-1', 'A-2', 'C3', 'E-3', 'F3')
12	3.0	35.0	1.0	('A-1', 'A-2', 'C3', 'E-3', 'F3')
13	1.0	36.0	3.0	('A1', 'A2', 'C3', 'E-3', 'G-3')
14	1.0	39.0	1.0	('A4', 'C5', 'E-5', 'G-5')
14	2.0	40.0	1.0	('A4', 'C5', 'E-5', 'G-5')
14	3.0	41.0	1.0	('A4', 'C5', 'E-5', 'G-5')
15	1.0	42.0	3.0	('B-4', 'E-5', 'G5')
16	1.0	45.0	0.5	('B-1', 'B-2', 'A-3', 'D4', 'G4')
16	1.5	45.5	0.5	('B-1', 'B-2', 'A-3', 'D4', 'F4')
16	2.0	46.0	0.25	('B-1', 'B-2', 'A-3', 'D4', 'F4')
16	2.25	46.25	0.25	('B-1', 'B-2', 'A-3', 'D4', 'G4')
