measure_number	beat	offset	duration	notes
1	1.0	0.0	1.0	('C2', 'E-2', 'G2', 'C3', 'E-3', 'G3', 'C4')
1	2.0	1.0	0.375	('C2', 'E-2', 'G2', 'C3', 'E-3', 'G3', 'C4')
1	2.375	1.375	0.125	('E-3', 'G3', 'C4')
1	2.5	1.5	0.375	('D3', 'G3', 'B3', 'D4')
1	2.875	1.875	0.125	('C3', 'G3', 'C4', 'E-4')
1	3.0	2.0	1.0	('F#3', 'A3', 'C4', 'E-4')
1	4.0	3.0	0.5	('G3', 'B3', 'D4')
1	4.875	3.875	0.125	('A-2',)
2	1.0	4.0	1.0	('A-3', 'B3', 'D4', 'F4')
2	2.0	5.0	0.375	('A-3', 'B3', 'D4', 'F4')
2	2.375	5.375	0.125	('A-3', 'B3', 'D4', 'F4')
2	2.5	5.5	0.375	('G3', 'B3', 'D4', 'G4')
2	2.875	5.875	0.125	('F3', 'B3', 'D4', 'A-4')
2	3.0	6.0	1.0	('E-3', 'B3', 'D4', 'A-4')
2	4.0	7.0	0.5	('E-3', 'C4', 'E-4', 'G4')
2	4.875	7.875	0.125	('E-3',)
3	1.0	8.0	0.5	('E-4', 'F#4', 'A4', 'C5')
3	1.5	8.5	0.5	('E-4', 'F#4', 'A4', 'C5')
3	2.0	9.0	0.375	('E-4', 'F#4', 'A4', 'C5')
3	2.375	9.375	0.125	('E-4', 'F#4', 'A4', 'C5')
3	2.5	9.5	0.375	('D4', 'F#4', 'A4', 'D5')
3	2.875	9.875	0.125	('C4', 'F#4', 'A4', 'E-5')
3	3.0	10.0	1.0	('C4', 'F#4', 'A4', 'E-5')
3	4.0	11.0	0.25	('B3', 'D4', 'G4', 'D5')
3	4.375	11.375	0.125	('E-4', 'F#4', 'A4', 'C5')
3	4.5	11.5	0.375	('D4', 'F#4', 'A4', 'D5')
3	4.875	11.875	0.125	('C4', 'F#4', 'A4', 'E-5')
4	781/160	1901/160	19/160	('C4',)
4	1.0	12.0	141/160	('C4', 'F#4', 'A4', 'E-5')
4	301/160	2061/160	19/160	('B3', 'F#4', 'A4', 'E-5')
4	2.0	13.0	61/160	('B3', 'D4', 'G4', 'D5')
4	381/160	2141/160	19/160	('B-3', 'C4', 'D4', 'E4', 'G4', 'D5')
4	2.5	13.5	61/160	('B-3', 'C4', 'E4', 'G4', 'C5', 'E5')
4	461/160	2221/160	19/160	('A-3', 'C4', 'F4', 'G4', 'C5', 'E5')
4	3.0	14.0	61/160	('A-3', 'C4', 'F4', 'A-4', 'C5', 'F5')
4	541/160	2301/160	19/160	('A-4', 'C5', 'F5')
4	3.5	14.5	61/160	('A-5',)
4	621/160	2381/160	19/160	('B-1', 'B-2', 'A-5')
4	4.0	15.0	0.125	('B-1', 'B-2', 'A-5')
4	4.125	15.125	0.0625	('B-1', 'B-2', 'G5')
4	4.1875	15.1875	0.0625	('B-1', 'B-2', 'A-5')
4	4.25	15.25	0.0625	('B-1', 'B-2', 'B-5')
4	4.3125	15.3125	0.0625	('B-1', 'B-2', 'A-5')
4	4.375	15.375	0.0625	('B-1', 'B-2', 'G5')
4	4.4375	15.4375	0.0625	('B-1', 'B-2', 'F5')
4	4.5	15.5	0.0625	('B-1', 'B-2', 'E-5')
4	4.5625	15.5625	0.0625	('B-1', 'B-2', 'D5')
4	4.625	15.625	0.0625	('B-1', 'B-2', 'C5')
4	4.6875	15.6875	0.0625	('B-1', 'B-2', 'B-4')
4	4.75	15.75	1/72	('B-1', 'B-2', 'A-4')
4	343/72	1135/72	1/72	('B-1', 'B-2', 'G4')
4	43/9	142/9	1/72	('B-1', 'B-2', 'F4')
4	115/24	379/24	1/72	('B-1', 'B-2', 'E-4')
4	173/36	569/36	1/72	('B-1', 'B-2', 'D4')
4	347/72	1139/72	1/72	('B-1', 'B-2', 'F4')
4	29/6	95/6	1/72	('B-1', 'B-2', 'A-4')
4	349/72	1141/72	1/72	('B-1', 'B-2', 'F4')
4	175/36	571/36	1/72	('B-1', 'B-2', 'D4')
4	4.875	15.875	1/160	('B-1', 'B-2')
5	781/160	2541/160	0.25	('E-2', 'E-3', 'E-4')
5	1.25	2581/160	0.25	('E-3', 'G3', 'B-3', 'E-4')
5	1.5	2621/160	0.25	('E-3', 'G3', 'B-3', 'E-4', 'E-5')
5	1.75	2661/160	0.25	('E-3', 'G3', 'B-3', 'E-4', 'E-5')
5	2.0	2701/160	0.25	('E-3', 'G3', 'B-3', 'E-4', 'E-5')
5	2.25	2741/160	0.125	('E-3', 'G3', 'B-3', 'E-4', 'E-5')
5	2.375	2761/160	0.125	('E-3', 'G3', 'B-3', 'E-4', 'E-5')
5	2.5	2781/160	0.25	('E-3', 'G3', 'B-3', 'F4', 'F5')
5	2.75	2821/160	0.125	('E-3', 'G3', 'B-3', 'F4', 'F5')
5	2.875	2841/160	0.125	('E-3', 'G3', 'B-3', 'G4', 'G5')
